-0.166    0.127    -1.115    1.134
-1.134    -0.035    1.449    1.846
-0.261    0.529    1.762    1.864
-3.838    2.526    1.425    4.813
-1.707    0.954    0.483    2.019
0.052    0.091    0.130    0.218
0.166    0.064    0.358    0.423
-0.086    0.309    1.023    1.072
0.060    -0.091    0.212    0.238
-0.040    0.178    3.672    3.677
-0.668    0.322    0.359    0.824
-0.196    0.146    0.116    0.270
-0.349    0.260    0.207    0.482
0.121    0.185    0.281    0.357
0.044    0.171    0.443    0.476
